Disease,Diet
AIDS,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Acid Reflux,"Citrus fruits and ginger, Garlic and herbal teas, Warm broths and soups"
Acne,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Alcoholic hepatitis,"Fruits and vegetables, Lean protein and complex carbs, Low-fat dairy and whole grains"
Allergic Rhinitis,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Allergy,"Anti-inflammatory foods like turmeric, Omega-3 fatty acids, Vitamin C rich fruits"
Amyotrophic Lateral Sclerosis,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Ankylosing Spondylitis,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Aplastic Anemia,"Fortified cereals, Iron-rich foods like spinach and red meat, Vitamin C rich fruits"
Arthritis,"Anti-inflammatory foods like turmeric, Leafy greens and berries, Omega-3 rich fish"
Asthma,"Foods rich in vitamin D, Magnesium-rich vegetables, Omega-3 rich fish"
Behcet's Disease,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Botulism,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Bronchial Asthma,"Foods rich in vitamin D, Magnesium-rich vegetables, Omega-3 rich fish"
Bronchitis,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Brucellosis,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
COVID-19,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Celiac Disease,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Cervical spondylosis,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Chicken pox,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Chronic Fatigue Syndrome,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Chronic cholestasis,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Common Cold,"Citrus fruits and ginger, Garlic and herbal teas, Warm broths and soups"
Crohn's Disease,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Dengue,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Diabetes,"High-fiber vegetables, Low-sugar fruits like berries, Whole grains and legumes"
Dimorphic hemmorhoids,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Drug Reaction,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Duchenne Muscular Dystrophy,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Ear Infection,"Citrus fruits and ginger, Garlic and herbal teas, Warm broths and soups"
Ehlers-Danlos Syndrome,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Endometriosis,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
Fibromyalgia,"Fresh fruits and vegetables, Plenty of water and herbal teas, Whole grains and lean proteins"
