Disease,Medication
Fungal infection," ""Fluconazole, Clotrimazole, Miconazole, Itraconazole, Terbinafine"""
Allergy," ""Loratadine, Cetirizine, Fexofenadine, Fluticasone (nasal spray), Epinephrine (for severe reactions)"""
GERD," ""Omeprazole, Pantoprazole, Famotidine, Ranitidine, Antacids (e.g., Calcium Carbonate)"""
Chronic cholestasis," ""Ursodeoxycholic acid (UDCA), Cholestyramine, Rifampicin, Naltrexone, Bezafibrate"""
Drug Reaction," ""Antihistamines (e.g., Diphenhydramine), Corticosteroids (e.g., Prednisone), Epinephrine (for severe reactions), Supportive fluids, Activated charcoal (in some cases)"""
Peptic ulcer disease," ""Omeprazole, Amoxicillin, Clarithromycin, Metronidazole, Sucralfate"""
AIDS," ""Dolutegravir, Tenofovir, Emtricitabine, Lamivudine, Ritonavir (as a booster)"""
Diabetes," ""Metformin, Glimepiride, Insulin glargine, Semaglutide, Empagliflozin"""
Gastroenteritis," ""Oral Rehydration Salts (ORS), Ondansetron, Loperamide (use with caution), Bismuth subsalicylate (use with caution), Probiotics (in some cases)"""
Bronchial Asthma," ""Albuterol, Budesonide, Salmeterol, Montelukast, Ipratropium"""
Hypertension," ""Amlodipine, Lisinopril, Losartan, Metoprolol, Hydrochlorothiazide"""
Migraine," ""Sumatriptan, Naproxen, Propranolol, Amitriptyline, Erenumab"""
Cervical spondylosis," ""Ibuprofen, Naproxen, Cyclobenzaprine, Prednisone, Gabapentin"""
Paralysis (brain hemorrhage)," ""Labetalol, Levetiracetam, Mannitol, Vasopressors, Anticoagulants"""
Jaundice," ""Depends on cause (e.g., antibiotics for infection, liver medications)"""
Malaria," ""Artemether-Lumefantrine, Chloroquine, Mefloquine, Doxycycline, Atovaquone-Proguanil"""
Chicken pox," ""Acyclovir, Valacyclovir, Famciclovir, Acetaminophen, Antihistamines"""
Dengue," ""Acetaminophen, ORS, IV fluids, Avoid NSAIDs"""
Typhoid," ""Ciprofloxacin, Ceftriaxone, Azithromycin, Chloramphenicol, Ofloxacin"""
Hepatitis A," ""Supportive care, Ondansetron (for nausea)"""
Hepatitis B," ""Entecavir, Tenofovir, Lamivudine, Interferon alfa, Peginterferon alfa"""
Hepatitis C," ""Sofosbuvir, Ledipasvir, Velpatasvir, Simeprevir, Ribavirin"""
Hepatitis D," ""Interferon alfa, Peginterferon alfa, Bulevirtide, Liver transplant"""
Hepatitis E," ""Supportive care, Ribavirin (chronic cases)"""
Alcoholic hepatitis," ""Prednisolone, Pentoxifylline, Thiamine, Benzodiazepines, Naltrexone"""
Tuberculosis," ""Isoniazid, Rifampin, Ethambutol, Pyrazinamide, Pyridoxine"""
Common Cold," ""Acetaminophen, Ibuprofen, Pseudoephedrine, Loratadine, Dextromethorphan"""
Pneumonia," ""Amoxicillin, Azithromycin, Ceftriaxone, Levofloxacin, Oseltamivir"""
Dimorphic hemorrhoids (piles)," ""Hydrocortisone cream, Lidocaine cream, Psyllium, Docusate, Ibuprofen"""
Heart attack," ""Aspirin, Nitroglycerin, Metoprolol, Atorvastatin, Clopidogrel"""
Varicose veins," ""Compression stockings, Sclerosing agents, Local anesthetics, Analgesics, Anticoagulants"""
Hypothyroidism," ""Levothyroxine"""
Hyperthyroidism," ""Methimazole, Propylthiouracil, Propranolol, Radioactive iodine, Potassium iodide"""
Hypoglycemia," ""Glucose tablets, Oral glucose gel, Glucagon, IV dextrose"""
Osteoarthritis," ""Acetaminophen, Ibuprofen, Naproxen, Celecoxib, Corticosteroid injections"""
Arthritis," ""Methotrexate, Sulfasalazine, Hydroxychloroquine, Adalimumab, Prednisone"""
Vertigo (PPV)," ""Meclizine, Dimenhydrinate, Diazepam, Betahistine, Ondansetron"""
Acne," ""Benzoyl peroxide, Salicylic acid, Tretinoin, Doxycycline, Isotretinoin"""
Urinary tract infection," ""Nitrofurantoin, TMP-SMX, Ciprofloxacin, Levofloxacin, Phenazopyridine"""
Psoriasis," ""Clobetasol, Calcipotriol, Methotrexate, Adalimumab, Apremilast"""
Impetigo," ""Mupirocin, Cephalexin, Clindamycin, Amoxicillin-clavulanate, Retapamulin"""
